requirement_id,source_anchor,requirement,contract_or_algorithm,executable_evidence,gate
M04-03-R50,"locked-risk:filesystem","Reject missing extra nonregular symlink junction or reparse source and existing or linked output while preventing reread and partial writes","lstat-style containment snapshot-once and atomic create-new output","cli_symlink_nonregular_toctou_and_existing_output_refused",G0
M04-03-R51,"locked-benchmark","After genuine untimed upstream document request setup and warm-up time exactly 25 representative public calls with mean at most 500ms and p95 at most 750ms","perf_counter_ns deterministic warm-up equality and nearest-rank p95","evals/m04_03/benchmark.py report",G0
M04-03-R52,"locked-corpus","Lock eight groups 72 unique cases allocated 7/9/8/8/8/7/7/18 and execute each exactly once","fixture inventory parsing and exact coverage-set equality","evals/m04_03/run.py corpus checks",G0
M04-03-R53,"locked-builder","Create canonical documents bind them into genuine M04-02 and execute genuine M01-02 then M04-01 then M04-02 before M04-03","public upstream operation construction with no handwritten result","builder smoke and exact upstream binding cases",G0
M04-03-R54,"manifest:data","Use synthetic non-clinical opaque manifest metadata and canonical JSON bytes with no scientific payload or clinical claims","closed fixture documents and recursive prohibitions","data-manifest inspection recursive privacy and raw-content ceiling cases",G0
M04-03-R55,"manifest:model","Install and execute zero models graphs factorization or mutable persistence while retaining dossier names as declared_not_executed","zero weights fitting prediction event store database object store and external lookup","model-manifest inspection and runtime dependency audit",G0
M04-03-R56,"manifest:reference","Bind caller-declared full upstream result reviewed policy parser profiles manifest claims bytes and seven authorities without opening external content","full-envelope replay media allowlist content digests and chronology","binding drift checksum privacy safe-failure and forgery cases",G0
M04-03-R57,"reviewer-signoff","Require external reviewer identity role decision timestamp and exact reviewed digests without module self-approval","review-state contract and manifest sign-off record","quarantine abstention and governed release review evidence",G0
M04-03-R58,"rollback","Reject quarantine or abstain retain immutable evidence restore externally supersede append-only replay all evidence and bind new review","supersedes_result_digest atomic new output and documented recovery procedure","full eval benchmark interface replay and release record",G0
M04-03-R59,"claims-ceiling","Make no external content identity protein proteoform PTM CN discordance kinase model biological treatment or clinical inference","closed authority fields exactly three limitations and zero-model manifest","recursive authority privacy raw-content and evidence-doc audits",G0
M04-03-R60,"publication","Publish exact 72-case eval 25-call benchmark 12 schemas interface evidence manifests traceability reviewer plan and rollback without self-approval","CI release-evidence verifier tooling and README declarations","publication tooling tests workflow inspection and release artifact verification",G0
