requirement_id,source_anchor,requirement,contract_or_algorithm,executable_evidence,gate
M04-02-R23,"locked-risk:authorization","Check all seven controls before any governed traversal and contain hostile mapping access","raw mapping-safe preflight with dict-subclass firewall Exception fail-closed and BaseException passthrough","seven denial cases arbitrary_mapping and dict_subclass_firewall_exception_and_baseexception_boundary",G0
M04-02-R24,"locked-risk:upstream","Require full self-validating M01-02 and M04-01 results and reject compact or handwritten substitutes","FrozenModel replay of both exact envelopes with genuine public upstream builder","exact_m0102_m0401_bindings and upstream forgery cases",G0
M04-02-R25,"locked-risk:bindings","Close context identity intended-use configuration and chronology against exact upstream and reviewed policy values","relational validators over resolution receipt evidence configuration and timestamps","stale_context_identity_binding m0401_identity_receipt_mismatch m0401_intended_use_mismatch",G0
M04-02-R26,"locked-risk:physical-lineage","Require all seven physical kinds and derived-object anchors reachable on governed patient paths","exact upstream entity-kind and path closure with physical path digests","canonical_all_seven_entity_chain missing_required_entity_kind and swap cases",G0
M04-02-R27,"locked-risk:artifact-topology","Keep physical graph separate and close five roles through one all-source four-role assembly","separate graph types exact role/MIME mapping and derivation closure","canonical_all_five_artifact_roles exact_single_four_role_assembly and malformed group",G0
M04-02-R28,"locked-risk:swaps","Detect declared-versus-resolved subject mismatch without relabel or edge mutation","identity_swap finding over immutable claims and derivations","swap_detection_and_nonmutation group",G0
M04-02-R29,"locked-risk:collisions","Keep scope lineage and artifact-identity collisions distinct and retain all participants","scope anchor/path and artifact identity indexes with quarantine actions","collision_and_duplicate_detection group",G0
M04-02-R30,"locked-risk:duplicates","Permit and retain duplicate digests without deduplication or authority selection","content-digest multimap and duplicate_content_retained record finding","same/different-scope duplicate cases all participant retention and no-authority case",G0
M04-02-R31,"locked-risk:cross-patient","Detect multi-component sources propagate only to target bundle and never synthesize assignment","sorted subject union and reachability-bounded target finding","cross_patient_detection group",G0
M04-02-R32,"locked-risk:producer-drift","Bind every producer to exact identity protocol reference-bundle and coordinate-policy digests","four distinct producer drift comparisons and finding codes","producer_identity_and_protocol_drift producer_reference_and_coordinate_drift",G0
M04-02-R33,"locked-risk:safe-failure","Map valid unresolved identity to abstention and valid quarantined protocol to quarantine while malformed envelopes reject","typed upstream state mapping after strict nested replay","valid_unresolved_identity_abstains valid_quarantined_m0401_quarantines and upstream rejection cases",G0
M04-02-R34,"locked-risk:evidence-states","Preserve observed missing indeterminate unsupported and redacted without component deletion or negative conversion","closed evidence-state enum and abstention precedence","evidence_and_authority_ceiling group",G0
M04-02-R35,"locked-risk:caps","Accept 5-256 claims one derivation 4-255 sources at most 256 subjects 1-64 methods 15-329 evidence 2435 findings three limitations and at most 4194304 canonical bytes","field and aggregate caps before canonical graph work","maximum_shape_accepted first_excess_rejected request_4mib_plus_one_rejected",G0
M04-02-R36,"locked-risk:strict-ingress","Reject duplicate JSON coercion unknown fields terms role MIME mismatch structural contradiction duplicates and stale derived values","strict immutable parsing validators and canonical cap guard","duplicate_json_rejected unknown_field_rejected scalar_coercion_rejected malformed and forgery cases",G0
M04-02-R37,"locked-risk:canonicalization","Produce complete result equality under semantic tuple reorder without hiding duplicates","semantic normalization before field-owned digest derivation","semantic_reorder_full_result_equality",G0
M04-02-R38,"locked-risk:result-forgery","Fully rederive graph findings disposition receipt support uncertainty provenance evidence limitations review time and result digest","strict result-envelope replay; finding code-to-action mapping is exact; receipt carries canonical unique finding codes that determine disposition; no public sentinel","stale_result_digest_rejected resigned_graph_finding_provenance_evidence_forgery_rejected",G0
M04-02-R39,"locked-risk:privacy","Use opaque local namespaces exact role media types and exclude direct identifiers raw tokens and biological payload","recursive key/value and identifier ownership oracle","recursive_privacy_canary_absent",G0
M04-02-R40,"locked-risk:authority","Keep every identity protein proteoform CN discordance kinase fusion treatment and mutation authority flag false","closed literal false fields in receipt result and schema metadata","no_protein_presence_or_absence no_cn_or_discordance_inference recursive_authority_ceiling",G0
M04-02-R41,"locked-interface:schemas","Export exactly eight named JSON Schema 2020-12 contracts and reject unknown names","closed registry request output policy artifact-claim derivation graph finding receipt","schema registry unit and HTTP CLI parity tests",G0
M04-02-R42,"locked-interface:public","Expose Python reconcile plus strict HTTP POST schema GET and CLI reconcile/export-schema parity without binary route","public service adapters shared strict serializers and canonical output","integration tests over reconciliation quarantine abstention rejection and schemas",G0
M04-02-R43,"locked-benchmark","After genuine untimed upstream setup and warm-up time exactly 25 representative public calls with mean at most 400ms and p95 at most 600ms","perf_counter_ns deterministic warm-up equality and nearest-rank p95","evals/m04_02/benchmark.py report",G0
M04-02-R44,"locked-corpus","Lock eight groups 70 unique cases allocated 6/6/7/6/8/9/8/20 and execute each exactly once","fixture inventory parsing and exact coverage-set equality","evals/m04_02/run.py corpus checks",G0
M04-02-R45,"locked-builder","Execute genuine public M01-02 then bind and execute genuine public M04-01 before M04-02","public upstream operation construction with no handwritten output","builder smoke and exact_m0102_m0401_bindings",G0
M04-02-R46,"manifest:data","Use synthetic non-clinical opaque identity and categorical lineage data with no direct identifiers tokens sequences accessions raw measurements PTM sites or clinical claims","closed fixture and result schemas with recursive prohibitions","data-manifest inspection and recursive_privacy_canary_absent",G0
M04-02-R47,"manifest:model","Install and execute zero models or mutable persistence while retaining dossier model names as declared_not_executed","zero residual CN regression weights fitting prediction event store database and lookup","model-manifest inspection and runtime dependency audit",G0
M04-02-R48,"manifest:reference","Bind caller-declared full upstream results reviewed policy methods artifacts and seven authorities without fetching parsing authenticating or truth claims","full-envelope replay media allowlist content digests and chronology","binding drift MIME privacy and forgery cases",G0
M04-02-R49,"reviewer-signoff","Require external reviewer identity role decision timestamp and exact reviewed digests without module self-approval","review-state contract and manifest sign-off record","quarantine abstention and governed release review evidence",G0
M04-02-R50,"rollback","Quarantine abstain or reject retain immutable evidence restore externally supersede append-only replay all evidence and bind new review","supersedes_result_digest and documented recovery procedure","full eval benchmark interface replay and release record",G0
M04-02-R51,"claims-ceiling","Make no identity protein proteoform CN discordance kinase model biological treatment or clinical inference","closed authority fields exactly three limitations and zero-model manifest","recursive authority privacy and evidence-doc audits",G0
