requirement_id,source,requirement,implementation,evidence,gate
M05-01-R23,"dossier:1496","Require review for critical discrepancy novel OOD support override claim promotion release exception and conflict","human_review_required on quarantine or abstention and external sign-off plan","review state tests and manifest",G0
M05-01-R24,"dossier:1498","Machine validate mandatory fields units identity keys and versions","strict models relational validators and exact enums","contract tests",G0
M05-01-R25,"dossier:1498","Leave zero undocumented optionality","extra forbid required declarations and explicit supersession nullable semantics","schema and unknown-field tests",G0
M05-01-R26,"dossier:1498","Provide versioned implementation","v1.0.0 package operation schemas and descriptor","interface parity",G0
M05-01-R27,"dossier:1498","Provide locked unit integration benchmark evidence","focused tests 40-case eval exact25 benchmark","reports and verifier",G0
M05-01-R28,"dossier:1498","Fail safely","preflight denial sanitized input failure abstention quarantine","hostile firewall and recovery tests",G0
M05-01-R29,"dossier:1500","Provide traceability and risk control verification","this matrix and executable cases","release artifact audit",G0
M05-01-R30,"dossier:1500","Provide data model and reference manifest","synthetic-only zero-model opaque-reference manifest","M05-01 manifest",G0
M05-01-R31,"dossier:1500","Provide reviewer sign-off and rollback evidence","external sign-off fields and eight-step append-only recovery","manifest and superseding recovery",G0
M05-01-R32,"dossier:1502","Bind owner safety gate to Quality engineering S2 G0","literal constants schema metadata and descriptor","module identity assertions",G0
M05-01-R33,"dossier:1512","Critical G0 cases behave 100 percent as specified","8 groups of 5 unique declared/executed cases","eval report exact closure",G0
M05-01-R34,"dossier:1512","Allow zero silent coercions","strict Pydantic and duplicate-free strict JSON","coercion duplicate unknown tests",G0
M05-01-R35,"dossier:1513","Keep future G1 claims outside G0","no measurements error metric or model","claims ceiling audit",G0
M05-01-R36,"dossier:1514","Keep supported perturbations within envelope","semantic-set reorder equality","canonical replay case",G0
M05-01-R37,"dossier:1514","Make unsupported perturbations abstain","reviewed-domain check before conformance negatives","unsupported OOD/version cases",G0
M05-01-R38,"dossier:1515","Keep nominal coverage claim 85 to 95 or narrow support","emit no probability and explicitly narrow support","non-calibrated uncertainty oracle",G0
M05-01-R39,"dossier:1516","Prevent ownership and consent violations","seven controls exact provenance and all authority flags false","authorization and authority tests",G0
M05-01-R40,"dossier:1516","Make critical failures auditable and recoverable","receipt provenance evidence review and superseding digest","recovery corpus and manifest",G0
M05-01-R41,"locked-risk:strict-ingress","Reject duplicate keys unknown fields coercion invalid media aliases and oversize payloads","strict JSON owned evidence validator and 4MiB guard","library API CLI negative parity",G0
M05-01-R42,"locked-risk:forgery","Reject re-signed request result finding receipt support uncertainty provenance evidence limitation and time substitution","full after-validator rederivation","forgery matrix",G0
M05-01-R43,"locked-risk:capacity","Advertise only constructible maxima 32 bundles 16 versions and vocabularies 12 terms 6 units 8 fields 32 rules","field caps plus genuine maximum builder","maximum totality test and benchmark",G0
M05-01-R44,"locked-interface","Export exactly 13 schemas one Python op HTTP routes and two CLI commands","closed schema registry and shared sealed validator","interface parity tests",G0
M05-01-R45,"locked-benchmark","Warm once then time exactly 25 maximum public calls with mean at most 2s and p95 at most 3s","perf_counter_ns deterministic equality nearest-rank p95","evals/m05_01/benchmark.py and release verifier",G0
M05-01-R46,"locked-privacy","Use digest-equal opaque evidence IDs and never reflect biological payload canaries","owned artifact validator and metadata-only builder","privacy evidence corpus",G0
M05-01-R47,"locked-plugin","Execute only issued original immutable request capabilities","weak registry identity and canonical byte snapshot","copied token and mutation tests",G0
M05-01-R48,"locked-package","Ship contracts runtime adapters fixtures docs eval and verifier reproducibly","wheel/sdist manifest and clean-install audit","package release gates",G0
